Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price
5/11/2018,NATIONAL,VEGETABLES,SPINACH,FLAT  -  BABY TYPE,nA,nA,1 lb package,nA,3.86
5/11/2018,NATIONAL,VEGETABLES,SPINACH,FLAT  -  BABY TYPE,nA,nA,5   -  6 oz package,nA,2.86
5/11/2018,NATIONAL,VEGETABLES,SQUASH,ACORN,nA,nA,per pound,nA,0.69
5/11/2018,NATIONAL,VEGETABLES,SQUASH,GREY,nA,nA,per pound,nA,0.61
5/11/2018,NATIONAL,VEGETABLES,SQUASH,YELLOW CROOKNECK/STRAIGHTNECK,nA,nA,per pound,nA,1.36
5/11/2018,NATIONAL,VEGETABLES,SQUASH,YELLOW CROOKNECK/STRAIGHTNECK,nA,nA,per pound,nA,1.86
5/11/2018,NATIONAL,VEGETABLES,SQUASH,ZUCCHINI,nA,nA,per pound,nA,1.4
5/11/2018,NATIONAL,VEGETABLES,SQUASH,ZUCCHINI,nA,nA,per pound,nA,1.85
5/11/2018,NATIONAL,VEGETABLES,SWEET POTATOES,,nA,nA,per pound,nA,0.86
5/11/2018,NATIONAL,VEGETABLES,SWISS CHARD,,nA,nA,per bunch,nA,1.92
5/11/2018,NATIONAL,VEGETABLES,TOMATILLOS,,nA,nA,per pound,nA,0.74
5/11/2018,NATIONAL,VEGETABLES,TOMATOES,,nA,nA,per pound,nA,0.97
5/11/2018,NATIONAL,VEGETABLES,TOMATOES,,nA,nA,per pound,nA,1.99
5/11/2018,NATIONAL,VEGETABLES,TOMATOES,VINE RIPE   -  HEIRLOOM VARIETIES,nA,nA,per pound,nA,1.69
5/11/2018,NATIONAL,VEGETABLES,TOMATOES,VINE RIPE   -  HEIRLOOM VARIETIES,nA,nA,per pound,nA,4.74
5/11/2018,NATIONAL,VEGETABLES,TOMATOES,VINE RIPES,nA,nA,per pound,nA,1.29
5/11/2018,NATIONAL,VEGETABLES,TOMATOES,VINE RIPES,nA,nA,per pound,nA,1.48
5/11/2018,NATIONAL,VEGETABLES,TOMATOES,VINE RIPES,nA,nA,per pound,nA,1.5
5/11/2018,NATIONAL,VEGETABLES,TOMATOES,VINE RIPES  -  ON THE VINE,nA,nA,per pound,nA,1.69
5/11/2018,NATIONAL,VEGETABLES,TOMATOES,VINE RIPES  -  ON THE VINE,nA,nA,per pound,nA,1.86
5/11/2018,NATIONAL,VEGETABLES,TOMATOES  -  CHERRY,,nA,nA,1 pint package,nA,1.6
5/11/2018,NATIONAL,VEGETABLES,TOMATOES  -  CHERRY,,nA,nA,1 pint package,nA,2.24
5/11/2018,NATIONAL,VEGETABLES,TOMATOES  -  GRAPE TYPE,,nA,nA,1 pint package,nA,1.84
5/11/2018,NATIONAL,VEGETABLES,TOMATOES  -  GRAPE TYPE,,nA,nA,10 oz package,nA,2.45
5/11/2018,NATIONAL,VEGETABLES,TOMATOES  -  GRAPE TYPE,,nA,nA,1 pint package,nA,2.55
5/11/2018,NATIONAL,VEGETABLES,TOMATOES  -  GRAPE TYPE,,nA,nA,10 oz package,nA,2.53
5/11/2018,NATIONAL,VEGETABLES,TOMATOES  -  PLUM TYPE,ROMA,nA,nA,per pound,nA,1.11
5/11/2018,NATIONAL,VEGETABLES,TOMATOES  -  PLUM TYPE,ROMA,nA,nA,per pound,nA,0.99
5/11/2018,NATIONAL,VEGETABLES,TOMATOES  -  PLUM TYPE,ROMA,nA,nA,per pound,nA,1.03
5/11/2018,NATIONAL,VEGETABLES,TURNIP TOPS GREENS,,nA,nA,1 lb bag,nA,2.5
5/11/2018,NATIONAL,VEGETABLES,TURNIP TOPS GREENS,,nA,nA,per bunch,nA,0.66
5/11/2018,NATIONAL,VEGETABLES,TURNIP TOPS GREENS,,nA,nA,per pound,nA,0.68
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,RED,nA,nA,2 lb bag,nA,2.31
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,RED,nA,nA,per pound,nA,0.98
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,RED,nA,nA,2 lb bag,nA,2.49
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,WHITE,nA,nA,2 lb bag,nA,1.34
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,WHITE,nA,nA,5 lb bag,nA,1
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,WHITE,nA,nA,per pound,nA,0.69
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,YELLOW,nA,nA,2 lb bag,nA,1.49
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,YELLOW,nA,nA,3 lb bag,nA,1.84
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,YELLOW,nA,nA,5 lb bag,nA,2.03
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,YELLOW,nA,nA,per pound,nA,0.7
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,YELLOW,nA,nA,3 lb bag,nA,3.9
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,YELLOW,nA,nA,per pound,nA,1.33
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,YELLOW MARKED SWEET,nA,nA,2 lb bag,nA,1.87
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,YELLOW MARKED SWEET,nA,nA,3 lb bag,nA,2.93
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,YELLOW MARKED SWEET,nA,nA,5 lb bag,nA,2.86
4/27/2018,NATIONAL,VEGETABLES,ONIONS DRY,YELLOW MARKED SWEET,nA,nA,per pound,nA,0.92
4/27/2018,NATIONAL,VEGETABLES,POTATOES,ROUND RED,nA,nA,10 lb bag,nA,3.99
4/27/2018,NATIONAL,VEGETABLES,POTATOES,ROUND RED,nA,nA,3 lb bag,nA,1.85
4/27/2018,NATIONAL,VEGETABLES,POTATOES,ROUND RED,nA,nA,5 lb bag,nA,3.3
4/27/2018,NATIONAL,VEGETABLES,POTATOES,ROUND RED,nA,nA,per pound,nA,0.84
4/27/2018,NATIONAL,VEGETABLES,POTATOES,ROUND RED,nA,nA,3 lb bag,nA,2.79
4/27/2018,NATIONAL,VEGETABLES,POTATOES,ROUND RED,nA,nA,5 lb bag,nA,4.99
4/27/2018,NATIONAL,VEGETABLES,POTATOES,ROUND WHITE,nA,nA,5 lb bag,nA,2.3
4/27/2018,NATIONAL,VEGETABLES,POTATOES,ROUND WHITE,nA,nA,per pound,nA,0.94
4/27/2018,NATIONAL,VEGETABLES,POTATOES,RUSSET,nA,nA,10 lb bag,nA,3.24
4/27/2018,NATIONAL,VEGETABLES,POTATOES,RUSSET,nA,nA,3 lb bag,nA,1.56
4/27/2018,NATIONAL,VEGETABLES,POTATOES,RUSSET,nA,nA,5 lb bag,nA,2.31
4/27/2018,NATIONAL,VEGETABLES,POTATOES,RUSSET,nA,nA,8 lb bag,nA,3
4/27/2018,NATIONAL,VEGETABLES,POTATOES,RUSSET,nA,nA,per pound,nA,0.84
4/27/2018,NATIONAL,VEGETABLES,POTATOES,RUSSET,nA,nA,3 lb bag,nA,2.82
4/27/2018,NATIONAL,VEGETABLES,POTATOES,RUSSET,nA,nA,5 lb bag,nA,4.45
4/27/2018,NATIONAL,VEGETABLES,POTATOES,RUSSET,nA,nA,per pound,nA,1.29
4/27/2018,NATIONAL,VEGETABLES,POTATOES,YELLOW TYPE,nA,nA,10 lb bag,nA,2.69
4/27/2018,NATIONAL,VEGETABLES,POTATOES,YELLOW TYPE,nA,nA,3 lb bag,nA,2.5
4/27/2018,NATIONAL,VEGETABLES,POTATOES,YELLOW TYPE,nA,nA,5 lb bag,nA,3.28
4/27/2018,NATIONAL,VEGETABLES,POTATOES,YELLOW TYPE,nA,nA,per pound,nA,1.01
4/27/2018,NATIONAL,VEGETABLES,POTATOES,YELLOW TYPE,nA,nA,5 lb bag,nA,4.99
