"Category","Sector code","Product code","Product desc","Product Brief Description","Unit","Country","Period","MP Market Price"
"Fruit products","FRL","POMGOD","Apples Golden","Apples - Pommes, Golden Delicious, Cat. I - Cal. 70-80","€/100 kg net weight","RO","201803","41,51"
"Fruit products","FRL","POMGRS","Apples Granny","Apples - Pommes, Granny smith, Cat. I - Cal. 70-80","€/100 kg net weight","EU","201803","83,96"
"Fruit products","FRL","POMGRS","Apples Granny","Apples - Pommes, Granny smith, Cat. I - Cal. 70-80","€/100 kg net weight","BE","201803","94,90"
"Fruit products","FRL","POMGRS","Apples Granny","Apples - Pommes, Granny smith, Cat. I - Cal. 70-80","€/100 kg net weight","GR","201803","71,16"
"Fruit products","FRL","POMGRS","Apples Granny","Apples - Pommes, Granny smith, Cat. I - Cal. 70-80","€/100 kg net weight","ES","201803","62,09"
"Fruit products","FRL","POMGRS","Apples Granny","Apples - Pommes, Granny smith, Cat. I - Cal. 70-80","€/100 kg net weight","FR","201803","99,88"
"Fruit products","FRL","POMGRS","Apples Granny","Apples - Pommes, Granny smith, Cat. I - Cal. 70-80","€/100 kg net weight","IT","201803","83,78"
"Fruit products","FRL","POMGRS","Apples Granny","Apples - Pommes, Granny smith, Cat. I - Cal. 70-80","€/100 kg net weight","NL","201803","43,00"
"Fruit products","FRL","POMIDA","Apples Idared","Apples - Pommes, Idared, Cat. I - Cal. 70-80","€/100 kg net weight","EU","201803","56,11"
"Fruit products","FRL","POMIDA","Apples Idared","Apples - Pommes, Idared, Cat. I - Cal. 70-80","€/100 kg net weight","CZ","201803","70,02"
"Fruit products","FRL","POMIDA","Apples Idared","Apples - Pommes, Idared, Cat. I - Cal. 70-80","€/100 kg net weight","DE","201803","83,53"
"Fruit products","FRL","POMIDA","Apples Idared","Apples - Pommes, Idared, Cat. I - Cal. 70-80","€/100 kg net weight","HR","201803","74,40"
"Fruit products","FRL","POMIDA","Apples Idared","Apples - Pommes, Idared, Cat. I - Cal. 70-80","€/100 kg net weight","NL","201803","67,00"
"Fruit products","FRL","POMIDA","Apples Idared","Apples - Pommes, Idared, Cat. I - Cal. 70-80","€/100 kg net weight","AT","201803","66,25"
"Fruit products","FRL","POMIDA","Apples Idared","Apples - Pommes, Idared, Cat. I - Cal. 70-80","€/100 kg net weight","PL","201803","36,40"
"Fruit products","FRL","POMJON","Apples Jonagold","Apples - Pommes, Jonagold (or Jonagored), Cat. I - Cal. 70-80","€/100 kg net weight","EU","201803","62,85"
"Fruit products","FRL","POMJON","Apples Jonagold","Apples - Pommes, Jonagold (or Jonagored), Cat. I - Cal. 70-80","€/100 kg net weight","BE","201803","87,52"
"Fruit products","FRL","POMJON","Apples Jonagold","Apples - Pommes, Jonagold (or Jonagored), Cat. I - Cal. 70-80","€/100 kg net weight","CZ","201803","78,96"
"Fruit products","FRL","POMJON","Apples Jonagold","Apples - Pommes, Jonagold (or Jonagored), Cat. I - Cal. 70-80","€/100 kg net weight","DE","201803","80,21"
"Fruit products","FRL","POMJON","Apples Jonagold","Apples - Pommes, Jonagold (or Jonagored), Cat. I - Cal. 70-80","€/100 kg net weight","HR","201803","85,67"
"Fruit products","FRL","POMJON","Apples Jonagold","Apples - Pommes, Jonagold (or Jonagored), Cat. I - Cal. 70-80","€/100 kg net weight","AT","201803","65,75"
"Fruit products","FRL","POMJON","Apples Jonagold","Apples - Pommes, Jonagold (or Jonagored), Cat. I - Cal. 70-80","€/100 kg net weight","PL","201803","45,41"
"Fruit products","FRL","POMJON","Apples Jonagold","Apples - Pommes, Jonagold (or Jonagored), Cat. I - Cal. 70-80","€/100 kg net weight","PT","201803","70,00"
"Fruit products","FRL","POMRED","Apples Red","Apples - Pommes, Red delicious and other red varieties, Cat. I - Cal. 70-80","€/100 kg net weight","EU","201803","82,28"
"Fruit products","FRL","POMRED","Apples Red","Apples - Pommes, Red delicious and other red varieties, Cat. I - Cal. 70-80","€/100 kg net weight","DE","201803","85,00"
"Fruit products","FRL","POMRED","Apples Red","Apples - Pommes, Red delicious and other red varieties, Cat. I - Cal. 70-80","€/100 kg net weight","GR","201803","74,39"
"Fruit products","FRL","POMRED","Apples Red","Apples - Pommes, Red delicious and other red varieties, Cat. I - Cal. 70-80","€/100 kg net weight","ES","201803","70,79"
"Fruit products","FRL","POMRED","Apples Red","Apples - Pommes, Red delicious and other red varieties, Cat. I - Cal. 70-80","€/100 kg net weight","HR","201803","83,36"
"Fruit products","FRL","POMRED","Apples Red","Apples - Pommes, Red delicious and other red varieties, Cat. I - Cal. 70-80","€/100 kg net weight","IT","201803","87,43"
"Fruit products","FRL","POMRED","Apples Red","Apples - Pommes, Red delicious and other red varieties, Cat. I - Cal. 70-80","€/100 kg net weight","PT","201803","65,63"
"Fruit products","FRL","POMRED","Apples Red","Apples - Pommes, Red delicious and other red varieties, Cat. I - Cal. 70-80","€/100 kg net weight","RO","201803","49,36"
"Fruit products","FRL","POMSHA","Apples Shampion","Apples - Pommes, Shampion, Cat. I - Cal. 70-80","€/100 kg net weight","EU","201803","58,26"
"Fruit products","FRL","POMSHA","Apples Shampion","Apples - Pommes, Shampion, Cat. I - Cal. 70-80","€/100 kg net weight","CZ","201803","73,95"
"Fruit products","FRL","POMSHA","Apples Shampion","Apples - Pommes, Shampion, Cat. I - Cal. 70-80","€/100 kg net weight","DE","201803","86,63"
"Fruit products","FRL","POMSHA","Apples Shampion","Apples - Pommes, Shampion, Cat. I - Cal. 70-80","€/100 kg net weight","PL","201803","42,34"
"Fruit products","FRL","AVOHAS","Avocados","Avocados - Avocats,  Hass - Cat. I - Cal. 16-20","€/100 kg net weight","EU","201802","307,50"
"Fruit products","FRL","AVOHAS","Avocados","Avocados - Avocats,  Hass - Cat. I - Cal. 16-20","€/100 kg net weight","ES","201802","307,50"
"Fruit products","FRL","CITCL1","Lemons","Lemons - Citrons,  Cat. I - Cal. 1-3","€/100 kg net weight","EU","201802","99,84"
"Fruit products","FRL","CITCL1","Lemons","Lemons - Citrons,  Cat. I - Cal. 1-3","€/100 kg net weight","GR","201802","47,25"
"Fruit products","FRL","CITCL1","Lemons","Lemons - Citrons,  Cat. I - Cal. 1-3","€/100 kg net weight","ES","201802","97,60"
"Fruit products","FRL","CITCL1","Lemons","Lemons - Citrons,  Cat. I - Cal. 1-3","€/100 kg net weight","IT","201802","114,50"
"Fruit products","FRL","CLECL1","Clementines","Clementines - Clementines,  Cat. I - Cal. 1x-2","€/100 kg net weight","EU","201802","72,07"
"Fruit products","FRL","CLECL1","Clementines","Clementines - Clementines,  Cat. I - Cal. 1x-2","€/100 kg net weight","GR","201802","63,68"
"Fruit products","FRL","CLECL1","Clementines","Clementines - Clementines,  Cat. I - Cal. 1x-2","€/100 kg net weight","ES","201802","60,92"
"Fruit products","FRL","CLECL1","Clementines","Clementines - Clementines,  Cat. I - Cal. 1x-2","€/100 kg net weight","IT","201802","107,50"
"Fruit products","FRL","FRACL1","Strawberries","Strawberries - Fraises - Cat. I","€/100 kg net weight","EU","201802","351,70"
"Fruit products","FRL","FRACL1","Strawberries","Strawberries - Fraises - Cat. I","€/100 kg net weight","BE","201802","762,78"
